id,title,budget,revenue,runtime,popularity,vote_average,vote_count,original_language,release_date,release_year,release_month,genres
22,Pirates of the Caribbean: The Curse of the Black Pearl,140000000,655011224,143,80.509,7.794,19233,en,2003-07-09,2003,7,"Adventure, Fantasy, Action"
12445,Harry Potter and the Deathly Hallows: Part 2,125000000,1341511219,130,110.974,8.105,19183,en,2011-07-12,2011,7,"Fantasy, Adventure"
11,Star Wars,11000000,775398007,121,88.559,8.204,19155,en,1977-05-25,1977,5,"Adventure, Action, Science Fiction"
297762,Wonder Woman,149000000,822854286,141,54.628,7.236,18954,en,2017-05-30,2017,5,"Action, Adventure, Fantasy"
14160,Up,175000000,735099082,96,90.968,7.949,18857,en,2009-05-28,2009,5,"Animation, Comedy, Family, Adventure"
102899,Ant-Man,130000000,519311965,117,37.692,7.082,18730,en,2015-07-14,2015,7,"Science Fiction, Action, Adventure"
238,The Godfather,6000000,245066411,175,158.448,8.707,18677,en,1972-03-14,1972,3,"Drama, Crime"
286217,The Martian,108000000,630600000,141,76.0,7.678,18525,en,2015-09-30,2015,9,"Drama, Adventure, Science Fiction"
105,Back to the Future,19000000,381109762,116,62.543,8.314,18442,en,1985-07-03,1985,7,"Adventure, Comedy, Science Fiction"
140607,Star Wars: The Force Awakens,245000000,2068223624,136,66.772,7.293,18352,en,2015-12-15,2015,12,"Adventure, Action, Science Fiction"
634649,Spider-Man: No Way Home,200000000,1921847111,148,186.065,7.99,18299,en,2021-12-15,2021,12,"Action, Adventure, Science Fiction"
675,Harry Potter and the Order of the Phoenix,150000000,938212738,138,117.168,7.686,18177,en,2007-07-08,2007,7,"Adventure, Fantasy"
767,Harry Potter and the Half-Blood Prince,250000000,933959197,153,121.735,7.697,18127,en,2009-07-15,2009,7,"Adventure, Fantasy"
263115,Logan,97000000,619021436,137,54.194,7.8,18116,en,2017-02-28,2017,2,"Action, Drama, Science Fiction"
12,Finding Nemo,94000000,940335536,100,55.456,7.824,18061,en,2003-05-30,2003,5,"Animation, Family"
346364,It,40000000,701800000,135,74.73,7.242,18018,en,2017-09-06,2017,9,"Horror, Fantasy"
245891,John Wick,20000000,88761661,101,55.739,7.421,17923,en,2014-10-22,2014,10,"Action, Thriller"
259316,Fantastic Beasts and Where to Find Them,180000000,809342332,132,46.103,7.334,17892,en,2016-11-16,2016,11,"Fantasy, Adventure, Family"
12444,Harry Potter and the Deathly Hallows: Part 1,250000000,954305868,146,111.984,7.763,17782,en,2010-11-17,2010,11,"Adventure, Fantasy"
354912,Coco,175000000,800526015,105,166.578,8.222,17742,en,2017-10-27,2017,10,"Family, Animation, Fantasy, Music, Comedy, Adventure"
100402,Captain America: The Winter Soldier,170000000,714766572,136,31.482,7.671,17692,en,2014-03-20,2014,3,"Action, Adventure, Science Fiction"
557,Spider-Man,139000000,821708551,121,63.478,7.279,17653,en,2002-05-01,2002,5,"Fantasy, Action"
10681,WALL·E,180000000,521311860,98,58.517,8.078,17446,en,2008-06-22,2008,6,"Animation, Family, Science Fiction"
210577,Gone Girl,61000000,369330363,149,46.611,7.892,17381,en,2014-10-01,2014,10,"Mystery, Thriller, Drama"
49051,The Hobbit: An Unexpected Journey,250000000,1021103568,169,83.524,7.339,17356,en,2012-12-12,2012,12,"Adventure, Fantasy, Action"
585,"Monsters, Inc.",115000000,579707738,92,86.936,7.835,17189,en,2001-11-01,2001,11,"Animation, Comedy, Family"
862,Toy Story,30000000,394400000,81,78.404,7.971,17152,en,1995-10-30,1995,10,"Animation, Adventure, Family, Comedy"
281957,The Revenant,135000000,532950503,157,36.747,7.5,17114,en,2015-12-25,2015,12,"Western, Drama, Adventure"
209112,Batman v Superman: Dawn of Justice,250000000,873637528,152,78.589,5.952,17081,en,2016-03-23,2016,3,"Action, Adventure, Fantasy"
8587,The Lion King,45000000,763455561,89,87.384,8.256,16991,en,1994-06-24,1994,6,"Family, Animation, Drama"
98,Gladiator,103000000,465361176,155,53.587,8.209,16962,en,2000-05-04,2000,5,"Action, Drama, Adventure"
37165,The Truman Show,60000000,264118201,103,42.954,8.133,16827,en,1998-06-04,1998,6,"Comedy, Drama"
9806,The Incredibles,92000000,631442092,115,62.609,7.704,16584,en,2004-10-27,2004,10,"Action, Adventure, Animation, Family"
329865,Arrival,47000000,203388186,116,47.983,7.6,16564,en,2016-11-10,2016,11,"Drama, Science Fiction, Mystery"
496243,Parasite,11363000,257591776,133,64.627,8.515,16430,ko,2019-05-30,2019,5,"Comedy, Thriller, Drama"
76338,Thor: The Dark World,170000000,644783140,112,59.968,6.538,16359,en,2013-10-30,2013,10,"Action, Adventure, Fantasy"
1930,The Amazing Spider-Man,215000000,757930663,136,78.989,6.691,16352,en,2012-06-23,2012,6,"Action, Adventure, Fantasy"
381288,Split,9000000,278454358,117,44.51,7.337,16345,en,2017-01-19,2017,1,"Horror, Thriller"
383498,Deadpool 2,110000000,785896609,120,66.096,7.492,16324,en,2018-05-10,2018,5,"Action, Comedy, Adventure"
694,The Shining,19000000,44781695,144,45.252,8.218,16205,en,1980-05-23,1980,5,"Horror, Thriller"
24,Kill Bill: Vol. 1,30000000,180906076,111,36.315,7.97,16188,en,2003-10-10,2003,10,"Action, Crime"
101299,The Hunger Games: Catching Fire,130000000,865011746,146,49.864,7.4,16182,en,2013-11-15,2013,11,"Adventure, Action, Science Fiction"
77338,The Intouchables,13000000,426588510,113,41.656,8.277,16083,fr,2011-11-02,2011,11,"Drama, Comedy"
419430,Get Out,4500000,255407969,104,36.442,7.62,16081,en,2017-02-24,2017,2,"Mystery, Thriller, Horror"
205596,The Imitation Game,14000000,233555708,113,47.491,8.007,15973,en,2014-11-14,2014,11,"History, Drama, Thriller, War"
424694,Bohemian Rhapsody,52000000,903992901,135,37.55,7.997,15965,en,2018-10-24,2018,10,"Music, Drama, History"
497,The Green Mile,60000000,286801374,189,83.739,8.507,15937,en,1999-12-10,1999,12,"Fantasy, Drama, Crime"
198663,The Maze Runner,34000000,348319861,113,83.206,7.173,15901,en,2014-09-10,2014,9,"Action, Mystery, Science Fiction, Thriller"
18785,The Hangover,35000000,469310836,100,72.655,7.312,15812,en,2009-06-02,2009,6,Comedy
1891,The Empire Strikes Back,18000000,538400000,124,35.265,8.4,15773,en,1980-05-20,1980,5,"Adventure, Action, Science Fiction"
808,Shrek,60000000,487853320,90,94.456,7.73,15765,en,2001-05-18,2001,5,"Animation, Comedy, Fantasy, Adventure, Family"
2062,Ratatouille,150000000,623726000,111,82.488,7.809,15728,en,2007-06-28,2007,6,"Animation, Comedy, Family, Fantasy"
207703,Kingsman: The Secret Service,81000000,414351546,129,56.288,7.636,15664,en,2014-12-13,2014,12,"Crime, Comedy, Action, Adventure"
313369,La La Land,30000000,447407695,129,32.009,7.897,15625,en,2016-11-29,2016,11,"Comedy, Drama, Romance, Music"
109445,Frozen,150000000,1274219009,102,85.794,7.2,15520,en,2013-11-20,2013,11,"Animation, Family, Adventure, Fantasy"
374720,Dunkirk,150000000,527000000,107,34.529,7.456,15464,en,2017-07-19,2017,7,"War, Action, Drama"
269149,Zootopia,150000000,1023784195,109,98.11,7.748,15230,en,2016-02-11,2016,2,"Animation, Adventure, Family, Comedy"
240832,Lucy,40000000,458863600,89,33.913,6.44,15181,en,2014-07-25,2014,7,"Action, Science Fiction"
329,Jurassic Park,63000000,920100000,127,24.213,7.941,15141,en,1993-06-11,1993,6,"Adventure, Science Fiction"
274,The Silence of the Lambs,19000000,272742922,119,9.119,8.3,15003,en,1991-02-14,1991,2,"Crime, Drama, Thriller"
129,Spirited Away,19000000,274925095,125,68.024,8.539,14913,ja,2001-07-20,2001,7,"Animation, Family, Fantasy"
321612,Beauty and the Beast,160000000,1266115964,129,56.226,6.967,14871,en,2017-03-16,2017,3,"Family, Fantasy, Romance"
58,Pirates of the Caribbean: Dead Man's Chest,200000000,1065659812,151,69.403,7.346,14868,en,2006-07-06,2006,7,"Adventure, Fantasy, Action"
177572,Big Hero 6,165000000,657827828,102,98.41,7.738,14732,en,2014-10-24,2014,10,"Adventure, Family, Animation, Action, Comedy"
75656,Now You See Me,75000000,351723989,116,45.241,7.345,14726,en,2013-05-29,2013,5,"Thriller, Crime"
131631,The Hunger Games: Mockingjay - Part 1,125000000,755356711,123,85.889,6.796,14725,en,2014-11-19,2014,11,"Science Fiction, Adventure, Thriller"
335983,Venom,116000000,856085151,112,48.649,6.826,14724,en,2018-09-28,2018,9,"Science Fiction, Action"
1124,The Prestige,40000000,109676311,130,48.832,8.203,14696,en,2006-10-19,2006,10,"Drama, Mystery, Science Fiction"
6479,I Am Legend,150000000,585410052,101,59.815,7.201,14675,en,2007-12-12,2007,12,"Drama, Science Fiction, Thriller"
857,Saving Private Ryan,70000000,481840909,169,59.745,8.209,14658,en,1998-07-24,1998,7,"Drama, History, War"
299537,Captain Marvel,152000000,1131416446,124,50.399,6.843,14657,en,2019-03-06,2019,3,"Action, Adventure, Science Fiction"
339403,Baby Driver,34000000,226945087,113,44.974,7.5,14634,en,2017-06-28,2017,6,"Action, Crime"
424,Schindler's List,22000000,321365567,195,65.084,8.573,14594,en,1993-12-15,1993,12,"Drama, History, War"
1892,Return of the Jedi,32350000,572700000,132,40.104,7.892,14591,en,1983-05-25,1983,5,"Adventure, Action, Science Fiction"
429617,Spider-Man: Far From Home,160000000,1131927996,129,49.913,7.447,14495,en,2019-06-28,2019,6,"Action, Adventure, Science Fiction"
37724,Skyfall,200000000,1142471295,143,33.456,7.227,14466,en,2012-10-24,2012,10,"Action, Adventure, Thriller"
49047,Gravity,105000000,723192705,91,31.024,7.162,14463,en,2013-10-03,2013,10,"Science Fiction, Thriller, Drama"
127585,X-Men: Days of Future Past,250000000,747862775,132,60.194,7.5,14433,en,2014-05-15,2014,5,"Action, Adventure, Science Fiction"
333339,Ready Player One,175000000,607274134,140,50.088,7.6,14430,en,2018-03-28,2018,3,"Adventure, Action, Science Fiction"
72190,World War Z,200000000,531865000,116,55.042,6.807,14409,en,2013-06-20,2013,6,"Action, Drama, Horror, Science Fiction, Thriller"
640,Catch Me If You Can,52000000,352114312,141,44.814,7.971,14393,en,2002-12-16,2002,12,"Drama, Crime"
330459,Rogue One: A Star Wars Story,200000000,1056057273,133,33.1,7.488,14354,en,2016-12-14,2016,12,"Action, Adventure, Science Fiction"
181808,Star Wars: The Last Jedi,200000000,1332698830,152,47.241,6.825,14312,en,2017-12-13,2017,12,"Adventure, Action, Science Fiction"
49521,Man of Steel,225000000,668045518,143,44.96,6.614,14310,en,2013-06-12,2013,6,"Action, Adventure, Science Fiction"
20352,Despicable Me,69000000,533679475,95,47.416,7.227,14147,en,2010-07-08,2010,7,"Family, Animation, Comedy"
558,Spider-Man 2,200000000,788976453,127,24.172,7.258,14096,en,2004-06-25,2004,6,"Action, Adventure, Fantasy"
324857,Spider-Man: Into the Spider-Verse,90000000,375464627,117,80.675,8.404,14024,en,2018-12-06,2018,12,"Action, Adventure, Animation, Science Fiction"
118,Charlie and the Chocolate Factory,150000000,474968763,115,60.854,7.04,13967,en,2005-07-13,2005,7,"Adventure, Comedy, Family, Fantasy"
244786,Whiplash,3300000,13092000,107,54.495,8.381,13891,en,2014-10-10,2014,10,"Drama, Music"
1422,The Departed,90000000,291465000,151,42.503,8.166,13792,en,2006-10-04,2006,10,"Drama, Thriller, Crime"
120467,The Grand Budapest Hotel,30000000,174600318,100,33.966,8.049,13787,en,2014-02-26,2014,2,"Comedy, Drama"
10193,Toy Story 3,200000000,1066969703,103,69.145,7.792,13777,en,2010-06-16,2010,6,"Animation, Family, Comedy"
77,Memento,9000000,39723096,113,31.795,8.188,13723,en,2000-10-11,2000,10,"Mystery, Thriller"
38,Eternal Sunshine of the Spotless Mind,20000000,72258126,108,54.124,8.101,13709,en,2004-03-19,2004,3,"Science Fiction, Drama, Romance"
101,Léon: The Professional,16000000,45284974,111,58.625,8.316,13652,en,1994-09-14,1994,9,"Crime, Drama, Action"
44214,Black Swan,13000000,329398046,108,34.932,7.672,13567,en,2010-12-03,2010,12,"Drama, Thriller, Horror"
752,V for Vendetta,54000000,132511035,132,42.174,7.897,13556,en,2006-02-23,2006,2,"Action, Thriller, Science Fiction"
1893,Star Wars: Episode I - The Phantom Menace,115000000,924317558,136,46.845,6.5,13550,en,1999-05-19,1999,5,"Adventure, Action, Science Fiction"
152601,Her,23000000,47351251,126,37.608,7.862,13407,en,2013-12-18,2013,12,"Romance, Science Fiction, Drama"
285,Pirates of the Caribbean: At World's End,300000000,961000000,169,81.883,7.239,13345,en,2007-05-19,2007,5,"Adventure, Fantasy, Action"
122917,The Hobbit: The Battle of the Five Armies,250000000,956019788,144,94.048,7.309,13301,en,2014-12-10,2014,12,"Action, Adventure, Fantasy"
500,Reservoir Dogs,1200000,2859750,99,34.018,8.132,13296,en,1992-09-02,1992,9,"Crime, Thriller"
273248,The Hateful Eight,44000000,155760117,188,32.119,7.746,13291,en,2015-12-25,2015,12,"Drama, Mystery, Western"
348,Alien,11000000,104931801,117,72.767,8.147,13206,en,1979-05-25,1979,5,"Horror, Science Fiction"
10528,Sherlock Holmes,90000000,524028679,129,35.808,7.202,13170,en,2009-12-23,2009,12,"Action, Adventure, Crime, Mystery"
12155,Alice in Wonderland,200000000,1025467110,108,56.345,6.627,13149,en,2010-03-03,2010,3,"Family, Fantasy, Adventure"
1865,Pirates of the Caribbean: On Stranger Tides,379000000,1045713802,137,79.192,6.538,13126,en,2011-05-15,2011,5,"Adventure, Action, Fantasy"
559,Spider-Man 3,258000000,894983373,139,61.149,6.398,13098,en,2007-05-01,2007,5,"Fantasy, Action, Adventure"
447332,A Quiet Place,17000000,341000000,91,38.002,7.396,13079,en,2018-04-03,2018,4,"Horror, Drama, Science Fiction"
297802,Aquaman,160000000,1148528393,143,52.471,6.9,12965,en,2018-12-07,2018,12,"Action, Adventure, Fantasy"
393,Kill Bill: Vol. 2,30000000,152159461,136,37.053,7.876,12916,en,2004-04-16,2004,4,"Action, Crime, Thriller"
920,Cars,120000000,461983149,117,47.447,6.936,12906,en,2006-06-08,2006,6,"Animation, Adventure, Comedy, Family"
863,Toy Story 2,90000000,497366869,92,73.516,7.589,12904,en,1999-10-30,1999,10,"Animation, Comedy, Family"
607,Men in Black,90000000,589390539,98,38.848,7.184,12836,en,1997-07-02,1997,7,"Action, Adventure, Comedy, Science Fiction"
137113,Edge of Tomorrow,178000000,370541256,114,51.408,7.606,12828,en,2014-05-27,2014,5,"Action, Science Fiction"
1271,300,65000000,456082343,117,44.918,7.175,12812,en,2007-03-07,2007,3,"Action, Adventure, War"
353486,Jumanji: Welcome to the Jungle,90000000,995339117,119,26.669,6.827,12796,en,2017-12-09,2017,12,"Adventure, Action, Comedy, Fantasy"
78,Blade Runner,28000000,41722424,118,56.798,7.931,12770,en,1982-06-25,1982,6,"Science Fiction, Drama, Thriller"
1895,Star Wars: Episode III - Revenge of the Sith,113000000,850000000,140,41.215,7.411,12753,en,2005-05-17,2005,5,"Adventure, Action, Science Fiction"
324786,Hacksaw Ridge,40000000,175302354,139,74.994,8.195,12668,en,2016-10-07,2016,10,"Drama, History, War"
8966,Twilight,37000000,393616788,122,71.541,6.286,12638,en,2008-11-20,2008,11,"Fantasy, Drama, Romance"
62177,Brave,185000000,538983207,93,58.647,7.012,12591,en,2012-06-21,2012,6,"Animation, Adventure, Comedy, Family, Action, Fantasy"
363088,Ant-Man and the Wasp,140000000,622674139,119,34.801,6.951,12512,en,2018-07-04,2018,7,"Action, Adventure, Science Fiction"
102651,Maleficent,180000000,758539785,97,51.055,7.09,12477,en,2014-05-28,2014,5,"Fantasy, Adventure, Action, Family, Romance"
274870,Passengers,110000000,303144152,116,27.272,6.934,12429,en,2016-12-21,2016,12,"Drama, Romance, Science Fiction"
87827,Life of Pi,120000000,609016565,127,37.796,7.398,12426,en,2012-11-20,2012,11,"Adventure, Drama"
264660,Ex Machina,15000000,36869414,108,26.767,7.572,12362,en,2015-01-21,2015,1,"Drama, Science Fiction"
102382,The Amazing Spider-Man 2,200000000,708962323,141,73.319,6.498,12349,en,2014-04-16,2014,4,"Action, Adventure, Fantasy"
335984,Blade Runner 2049,150000000,259239658,164,70.54,7.544,12331,en,2017-10-04,2017,10,"Science Fiction, Drama"
425,Ice Age,59000000,383257136,81,70.773,7.348,12296,en,2002-03-10,2002,3,"Animation, Comedy, Family, Adventure"
1894,Star Wars: Episode II - Attack of the Clones,120000000,649398328,142,42.55,6.6,12288,en,2002-05-15,2002,5,"Adventure, Action, Science Fiction"
141052,Justice League,300000000,657926987,120,91.091,6.098,12263,en,2017-11-15,2017,11,"Action, Adventure, Science Fiction"
57158,The Hobbit: The Desolation of Smaug,250000000,958400000,161,70.03,7.57,12255,en,2013-12-11,2013,12,"Fantasy, Adventure, Action"
466272,Once Upon a Time… in Hollywood,95000000,374251247,162,47.706,7.437,12237,en,2019-07-24,2019,7,"Comedy, Drama, Thriller"
637,Life Is Beautiful,20000000,230098753,116,39.478,8.455,12218,it,1997-12-20,1997,12,"Comedy, Drama"
246655,X-Men: Apocalypse,178000000,543934787,144,45.544,6.513,12215,en,2016-05-18,2016,5,"Action, Adventure, Science Fiction, Fantasy"
194662,Birdman or (The Unexpected Virtue of Ignorance),18000000,103215094,120,43.866,7.471,12157,en,2014-10-17,2014,10,"Drama, Comedy"
157350,Divergent,85000000,288885818,139,39.066,6.92,12118,en,2014-03-14,2014,3,"Action, Adventure, Science Fiction"
190859,American Sniper,58800000,542307423,133,64.846,7.427,12107,en,2014-12-25,2014,12,"War, Action"
10191,How to Train Your Dragon,165000000,494879471,98,54.176,7.813,12089,en,2010-03-18,2010,3,"Fantasy, Adventure, Animation, Family"
260513,Incredibles 2,200000000,1242805359,118,49.215,7.481,12061,en,2018-06-14,2018,6,"Action, Adventure, Animation, Family"
162,Edward Scissorhands,20000000,53000000,105,37.283,7.716,12049,en,1990-12-07,1990,12,"Fantasy, Drama, Romance"
324552,John Wick: Chapter 2,40000000,171539887,122,88.285,7.323,12007,en,2017-02-08,2017,2,"Action, Thriller, Crime"
49538,X-Men: First Class,160000000,353624124,132,1.659,7.296,11986,en,2011-06-01,2011,6,"Action, Science Fiction, Adventure"
185,A Clockwork Orange,2200000,26589000,137,38.323,8.2,11946,en,1971-12-19,1971,12,"Science Fiction, Drama"
4922,The Curious Case of Benjamin Button,150000000,335802786,166,42.669,7.579,11899,en,2008-12-25,2008,12,"Drama, Fantasy, Romance"
218,The Terminator,6400000,78371200,108,44.969,7.646,11874,en,1984-10-26,1984,10,"Action, Thriller, Science Fiction"
165,Back to the Future Part II,40000000,332000000,108,30.516,7.752,11817,en,1989-11-22,1989,11,"Adventure, Comedy, Science Fiction"
280,Terminator 2: Judgment Day,102000000,520000000,137,69.45,8.104,11744,en,1991-07-03,1991,7,"Action, Thriller, Science Fiction"
769,GoodFellas,25000000,46835000,145,83.57,8.464,11726,en,1990-09-12,1990,9,"Drama, Crime"
64690,Drive,15000000,78054825,100,38.238,7.572,11718,en,2011-09-15,2011,9,"Drama, Thriller, Crime"
68726,Pacific Rim,180000000,411002906,131,55.847,6.878,11567,en,2013-07-11,2013,7,"Action, Science Fiction, Adventure"
131634,The Hunger Games: Mockingjay - Part 2,160000000,653428261,137,43.902,6.9,11557,en,2015-11-18,2015,11,"Action, Adventure, Science Fiction"
82690,Wreck-It Ralph,165000000,471222889,101,46.617,7.3,11546,en,2012-11-01,2012,11,"Family, Animation, Comedy, Adventure"
141,Donnie Darko,6000000,7500000,114,38.016,7.8,11515,en,2001-10-24,2001,10,"Fantasy, Drama, Mystery"
72105,Ted,50000000,549368315,107,38.48,6.407,11513,en,2012-06-29,2012,6,"Comedy, Fantasy"
64682,The Great Gatsby,105000000,351040419,143,36.651,7.379,11505,en,2013-05-09,2013,5,"Drama, Romance"
277834,Moana,150000000,690860472,107,17.963,7.6,11502,en,2016-10-13,2016,10,"Adventure, Comedy, Family, Animation"
399055,The Shape of Water,19500000,195333312,123,29.339,7.247,11490,en,2017-12-01,2017,12,"Drama, Fantasy, Romance"
85,Raiders of the Lost Ark,18000000,389925971,115,60.763,7.924,11483,en,1981-06-12,1981,6,"Adventure, Action"
19908,Zombieland,23600000,102391540,88,32.08,7.3,11466,en,2009-10-07,2009,10,"Comedy, Horror"
127380,Finding Dory,200000000,1028570889,97,26.562,7.042,11429,en,2016-06-16,2016,6,"Adventure, Animation, Comedy, Family"
296096,Me Before You,20000000,207945075,110,79.741,7.918,11414,en,2016-06-01,2016,6,"Drama, Romance"
530915,1917,100000000,394638258,119,44.356,7.99,11395,en,2019-12-25,2019,12,"War, History, Thriller"
398818,Call Me by Your Name,4000000,43143046,132,32.15,8.167,11367,en,2017-09-01,2017,9,"Romance, Drama"
82693,Silver Linings Playbook,21000000,236412453,122,28.014,7.13,11327,en,2012-11-16,2012,11,"Drama, Comedy, Romance"
809,Shrek 2,150000000,928760770,93,82.153,7.249,11323,en,2004-05-19,2004,5,"Animation, Family, Comedy, Fantasy, Adventure"
14161,2012,200000000,791217826,158,51.914,5.819,11300,en,2009-10-10,2009,10,"Action, Adventure, Science Fiction"
240,The Godfather Part II,13000000,102600000,202,64.753,8.591,11293,en,1974-12-20,1974,12,"Drama, Crime"
14,American Beauty,15000000,356296601,122,29.837,8.0,11260,en,1999-09-15,1999,9,Drama
70981,Prometheus,130000000,403354469,124,60.299,6.535,11255,en,2012-05-30,2012,5,"Science Fiction, Adventure, Mystery"
37799,The Social Network,40000000,224920315,121,36.101,7.358,11190,en,2010-10-01,2010,10,Drama
166426,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,795922298,128,62.006,6.648,11176,en,2017-05-23,2017,5,"Adventure, Action, Fantasy"
546554,Knives Out,40000000,312897920,131,39.064,7.847,11156,en,2019-11-27,2019,11,"Comedy, Crime, Mystery"
